engagement_id,participant_id,activity_type,timestamp,duration_minutes
1,27,forum_post,2024-07-10T01:07:30.062582,
2,22,video_watch,2024-09-29T18:26:43.074513,27
3,43,forum_post,2025-02-23T21:18:47.854419,24
4,63,course_view,2025-03-04T01:24:28.465053,112
5,9,video_watch,2024-09-20T02:19:33.470238,78
6,23,login,2024-12-15T07:18:08.452085,40
7,95,login,2024-06-19T14:16:07.733246,65
8,22,quiz_attempt,2025-01-01T08:18:01.934767,30
9,99,forum_post,2025-02-11T17:43:54.440179,67
10,26,login,2025-03-10T16:54:43.772221,21
11,29,video_watch,2024-11-12T13:19:22.577783,109
12,87,login,2025-01-17T12:33:51.133910,70
13,17,video_watch,2024-07-02T19:06:21.737866,61
14,74,quiz_attempt,2024-10-26T23:23:27.091817,57
15,99,course_view,2025-04-01T03:44:59.054774,8
16,25,login,2024-10-11T01:36:07.038591,
17,58,login,2024-12-08T05:34:57.038842,9
18,17,course_view,2024-12-21T20:59:07.855377,
19,68,video_watch,2024-11-15T19:38:29.070586,57
20,3,login,2024-07-06T15:42:17.043861,
21,99,login,2024-11-28T09:56:51.274460,
22,35,login,2025-03-16T10:58:33.433677,21
23,71,forum_post,2024-10-27T09:02:34.074237,
24,54,course_view,2024-11-19T17:59:33.244561,24
25,63,login,2024-06-14T23:22:17.570981,
26,88,forum_post,2024-07-18T15:06:47.425525,115
27,74,quiz_attempt,2025-01-30T23:03:33.995132,71
28,70,login,2025-02-06T20:21:10.440856,45
29,54,forum_post,2024-06-15T14:51:38.719010,81
30,65,login,2024-07-12T10:02:22.524015,1
31,16,login,2024-08-20T00:27:18.091429,60
32,100,video_watch,2025-05-30T14:14:18.313139,
33,22,login,2025-02-15T15:26:09.098881,22
34,25,course_view,2024-12-17T02:04:48.740042,76
35,73,forum_post,2025-03-18T05:10:55.869662,4
36,41,login,2024-12-23T12:30:14.885237,80
37,66,video_watch,2025-06-03T16:48:13.154044,22
38,77,video_watch,2025-05-17T06:13:30.946434,67
39,92,quiz_attempt,2025-03-24T07:29:56.481189,
40,31,video_watch,2024-09-09T06:08:29.681417,
41,69,login,2025-05-16T03:45:32.432058,71
42,6,login,2024-11-09T20:00:26.646787,
43,27,forum_post,2025-06-05T07:56:21.338985,96
44,48,login,2024-12-15T13:04:37.999334,27
45,21,forum_post,2024-10-23T22:14:06.957189,
46,34,course_view,2024-09-18T23:33:56.608574,
47,88,video_watch,2024-11-09T02:17:13.894616,120
48,52,course_view,2024-11-09T18:00:43.344093,
49,34,course_view,2024-11-04T01:49:56.955331,83
50,43,login,2024-11-13T05:06:13.814886,
51,22,login,2024-10-06T20:08:57.460194,42
52,49,quiz_attempt,2024-07-17T00:16:06.501420,80
53,60,quiz_attempt,2024-07-07T14:16:25.383586,25
